smru_platform_code,location,reference_doi,species
ct98-31-13,Kerguelen,,Southern ellie
ct98-33-13,Kerguelen,,Southern ellie
ct98-34-13,Kerguelen,,Southern ellie
ct98-35-13,Kerguelen,,Southern ellie
ct98-36-13,Kerguelen,,Southern ellie
ct98-38-13,Kerguelen,,Southern ellie
ct98-39-13,Kerguelen,,Southern ellie
ct98-40-13,Kerguelen,,Southern ellie
ct98-41-13,Kerguelen,,Southern ellie
ct98-42-13,Kerguelen,,Southern ellie
ct98-43-13,Kerguelen,,Southern ellie
ct98-45-13,Kerguelen,,Southern ellie
ct98-46-13,Kerguelen,,Southern ellie
ct98-47-13,Kerguelen,,Southern ellie
ct98-48-13,Kerguelen,,Southern ellie
ct98-49-13,Kerguelen,,Southern ellie
ct98-50-13,Kerguelen,,Southern ellie
ct99-LB037-13,Marion Island,10.1594/PANGAEA.839518,
ct99-OO052-13,Marion Island,10.1594/PANGAEA.846745,
ct99-YY189-13,Marion Island,10.1594/PANGAEA.839517,
ft09-048-11,Ano Nuevo.California,,
ft13-073_3-13,Australia. West Island,,Sea lion
ft13-615-12,Australia. S Neptune Is,,Sea lion
ft13-616_recov-12,Australia. Nuyts Reef,,Sea lion
ft13-618-12,Australia,,Sea lion
ft13-627-12,Australia. Rocky North,,Sea lion
ft13-628_recov-12,Australia. Kangaroo Is,,Sea lion
ft13-633_recov-12,Australia. Pearson Island,,Sea lion
ft19-221-14,Australia. West Island,,Sea lion
ft19-222-14,Australia. West Island,,Sea lion
ft19-633_rebat2-14,Australia. Pearson Island,,Sea lion
ft21-423-16,Ano Nuevo.California,,
ft26-946-BAT2-13,Ano Nuevo.California,,
ft26-950-18,Ano Nuevo.California,,
ft26-959-18,Ano Nuevo.California,,
ft26-960-18,Ano Nuevo.California,,
wd04-836-11,Davis,,Weddell seal
wd04-838-11,Davis,,Weddell seal
wd04-880-11,Davis,,Weddell seal
wd04-881-11,Davis,,Weddell seal
wd04-882-11,Davis,,Weddell seal
wd04-883-11,Davis,,Weddell seal
wd04-884-11,Davis,,Weddell seal
wd04-896-11,Davis,,Weddell seal
wd04-897-11,Davis,,Weddell seal
wd04-898-11,Davis,,Weddell seal
wd04-899-11,Davis,,Weddell seal
wd04-900-11,Davis,,Weddell seal
wd04-906-11,Davis,,Weddell seal
wd04-907-11,Davis,,Weddell seal
wd04-908-11,Davis,,Weddell seal
wd04-909-11,Davis,,Weddell seal
wd04-910-11,Davis,,Weddell seal
wd04-911-11,Davis,,Weddell seal
wd06-01-13,Weddell Sea,10.1594/PANGAEA.839692,
wd06-02-13,Weddell Sea,,
wd06-03-13,Weddell Sea,10.1594/PANGAEA.839698,
wd06-04-13,Weddell Sea,10.1594/PANGAEA.839693,
wd06-05-13,Weddell Sea,10.1594/PANGAEA.839694,
wd06-07-13,Weddell Sea,10.1594/PANGAEA.839695,
wd06-08-13,Weddell Sea,10.1594/PANGAEA.839696,
wd06-09-13,Weddell Sea,10.1594/PANGAEA.839699,
wd06-10-13,Weddell Sea,10.1594/PANGAEA.839697,
wd1-10165-06,Davis,,Weddell seal
wd1-10183-06,Davis,,Weddell seal
wd1-10213-06,Davis,,Weddell seal
wd1-10216-06,Davis,,Weddell seal
wd1-10217-06,Davis,,Weddell seal
wd1-9497-06,Davis,,Weddell seal
wd3-CTD2-07,Dumont d'Urville,,Weddell seal
wd3-CTD3-07,Dumont d'Urville,,Weddell seal
